c;p;w;e;h;tc
1;1;6;2;3;13
2;1;1;2;3;6
3;1;9;4;7;11
4;1;7;2;5;12
5;1;6;4;1;5
6;4;1;3;9;11
7;4;2;2;3;14
8;3;2;1;6;5
9;3;10;1;8;13
10;4;2;1;1;7
11;4;9;2;3;13
12;2;2;3;5;6
13;2;10;2;9;7
14;2;9;4;5;12
15;3;4;3;7;11
16;3;6;1;7;14
17;4;1;4;5;8
18;3;5;4;10;5
19;2;10;3;9;14
20;2;9;4;3;13
21;4;5;2;2;9
22;2;8;1;4;15
23;3;2;2;8;14
24;4;4;1;6;14
25;4;10;2;8;6
26;3;9;4;4;14
27;3;8;4;1;10
28;2;6;2;10;13
29;4;6;1;9;8
30;3;3;2;9;12
31;4;6;2;6;11
32;3;4;1;7;15
33;2;8;1;7;9
34;2;7;4;1;13
35;4;8;1;1;10
36;4;2;3;2;6
37;3;5;3;6;6
38;2;4;4;2;13
39;2;3;3;8;6
40;3;6;2;6;9
41;2;10;4;4;13
42;2;10;3;2;9
43;4;2;1;3;7
44;3;8;1;9;8
45;2;7;2;1;5
46;3;3;4;6;14
47;4;7;4;8;8
48;3;9;3;5;6
49;4;2;2;5;12
50;3;6;2;10;5
