c;p;w;e;h;tc
1;1;8;4;5;11
2;1;8;4;7;11
3;1;2;4;6;12
4;1;7;2;4;10
5;1;7;4;1;7
6;1;7;4;5;12
7;1;2;4;4;10
8;1;8;2;4;14
9;1;2;1;9;5
10;1;8;1;7;5
11;1;7;3;8;5
12;1;7;3;7;14
13;1;2;3;2;8
14;1;8;2;1;9
15;1;3;2;2;15
16;1;7;1;7;5
17;1;7;1;1;8
18;1;6;3;5;10
19;1;8;4;8;11
20;1;5;1;6;8
21;2;6;2;4;6
22;4;6;1;9;10
23;3;2;1;9;10
24;4;7;3;7;11
25;2;3;4;5;7
26;2;2;3;7;5
27;2;4;4;3;7
28;2;1;4;5;11
29;2;4;1;9;14
30;3;5;1;3;15
31;4;2;3;4;13
32;3;1;1;2;12
33;4;9;1;9;13
34;2;8;2;4;14
35;3;2;4;9;12
36;2;9;3;1;6
37;3;5;4;9;8
38;3;1;4;2;15
39;2;7;1;7;11
40;2;2;1;10;7
41;3;3;2;7;10
42;2;6;1;9;7
43;4;8;1;2;8
44;2;7;2;3;13
45;4;2;1;1;13
46;3;2;4;7;15
47;3;7;4;2;11
48;2;7;2;9;6
49;3;4;4;8;10
50;3;8;1;6;6
51;3;8;2;8;6
52;4;1;4;6;10
53;3;6;3;4;5
54;3;9;4;2;8
55;3;6;4;5;6
56;2;9;4;8;5
57;2;1;1;8;5
58;4;2;1;5;15
59;3;7;4;9;14
60;4;6;3;3;13
61;2;10;3;5;6
62;3;6;4;5;11
63;4;10;1;9;15
64;2;5;4;10;8
65;3;10;2;8;9
66;2;7;4;10;14
67;2;7;4;3;15
68;3;3;2;5;7
69;4;4;4;5;15
70;2;4;4;1;13
71;3;6;4;9;15
72;3;3;1;7;8
73;4;10;1;8;10
74;3;4;1;7;14
75;4;2;3;9;14
76;3;7;2;4;11
77;3;9;1;7;8
78;4;6;1;8;6
79;2;5;4;10;14
80;2;10;1;6;15
81;3;3;1;6;13
82;4;7;3;2;5
83;4;4;3;3;5
84;4;8;3;8;14
85;2;1;2;9;11
86;3;5;3;7;14
87;4;4;4;2;7
88;3;5;1;10;13
89;2;9;4;3;15
90;2;10;1;4;12
91;4;10;2;8;12
92;2;2;2;5;10
93;3;3;3;2;13
94;3;8;2;9;14
95;4;2;3;1;6
96;3;3;3;4;9
97;3;9;1;6;11
98;2;8;4;7;5
99;2;5;1;6;13
100;2;7;1;9;5
