SALA: 0
*		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	
2 / 0	45	-	-	-	-	-	-	-	-	-	-	45	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	21	-	-	-	-	-	-	-	-	21	-	-	42	42	-	-	-	
1 / 1	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	-	-	32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32	-	-	24	-	-	-	-	24	-	-	
2 / 2	46	-	-	-	-	-	-	-	-	-	-	-	46	-	-	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	-	-	28	-	-	-	-	-	-	-	-	-	-	-	28	
2 / 3	-	-	-	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43	-	-	-	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	-	-	
1 / 4	17	-	-	-	-	-	-	-	-	-	17	-	-	12	-	-	-	-	-	-	-	-	-	-	-	-	-	12	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	3	


SALA: 1
*		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	
2 / 0	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	
1 / 1	-	-	-	-	-	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	-	-	-	-	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	-	-	-	-	
1 / 2	-	44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44	-	-	-	-	-	-	-	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	
2 / 3	37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37	-	-	-	-	41	-	-	-	-	-	-	-	-	-	-	41	-	-	15	-	-	-	-	-	-	-	-	-	-	15	
1 / 4	25	-	-	-	-	-	-	-	-	-	25	-	-	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	-	-	-	-	-	-	-	-	-	-	


